ANO;DOCUMENTO;Nº ;ATO NORMATIVO;EMENTA;ÁREA MMA;ASSUNTO;LINK;STATUS;REVOGA
1961;DECRETO;50877;Decreto nº 50.877, de 29 de junho de 1961;Dispõe sobre o lançamento de resíduos tóxicos ou oleosos nas águas interiores e ou litorâneas do País, e dá outras providências. Revogado pelo decreto de 5 de setembro de 1991;EXTERNO;POLUIÇÃO MARINHA;https://www2.camara.leg.br/legin/fed/decret/1960-1969/decreto-50877-29-junho-1961-390520-publicacaooriginal-1-pe.html;REVOGADO;
1982;DECRETO;87566;Decreto nº 87.566, de 16 de setembro de 1982;Promulga o texto da convenção sobre Prevenção da Poluição Marinha por Alijamento de Resíduos e Outras Matérias, concluída em Londres, a 29 de dezembro de 1972.;EXTERNO;POLUIÇÃO MARINHA;http://www.planalto.gov.br/ccivil_03/decreto/1980-1989/1980-1984/D87566.htm;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1984;RESOLUÇÃO CONAMA;1;Resolução CONAMA Nº 001/1984;Aprova o Regimento Interno do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=1;ATO EXAURIDO;
1984;RESOLUÇÃO CONAMA;3;Resolução CONAMA Nº 003/1984;Dispõe sobre a reformulação da Portaria/GM/Minter nº 13, de 15 de janeiro de 1976;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=3;ATO EXAURIDO;
1984;RESOLUÇÃO CONAMA;9;Resolução CONAMA Nº 009/1984;Altera o Regimento Interno do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=9;ATO EXAURIDO;
1984;RESOLUÇÃO CONAMA;13;Resolução CONAMA Nº 013/1984;Dispõe sobre anteprojeto de Lei nº 19/84;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=764;ATO EXAURIDO;
1984;RESOLUÇÃO CONAMA;15;Resolução CONAMA Nº 015/1984;Altera o Regimento Interno do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=15;ATO EXAURIDO;
1985;RESOLUÇÃO CONAMA;3;Resolução CONAMA Nº 003/1985;Dispõe sobre a criação de Comissão Especial para propor o zoneamento da Bacia Hidrográfica do Rio Paraguai. Alterada Pela Resolução Nº 02/1986 ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=20;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1986;RESOLUÇÃO CONAMA;2;Resolução CONAMA Nº 002/1986;Dispõe sobre a prorrogação de prazo ao Dnos de relatório de obras no Estado do Rio de Janeiro;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=25;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1986;RESOLUÇÃO CONAMA;3;Resolução CONAMA Nº 003/1986;Dispõe sobre a criação de Comissão Especial de estudos do projeto de Gerenciamento;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=26;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;4;Resolução CONAMA Nº 004/1986;Dispõe sobre a criação de Comissão Especial com o objetivo de compatibilizar as atividades do Polonoroeste. Alterada Pela Resolução Nº 15/1986;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=27;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;5;Resolução CONAMA Nº 005/1986;Dispõe sobre a criação de Comissão Especial referente a Amianto/Asbestos ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=28;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;7;Resolução CONAMA Nº 007/1986;Dispõe sobre a criação de Comissão Especial para rever o Regimento Interno do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=30;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;8;Resolução CONAMA Nº 008/1986;Dispõe sobre a criação de Comissão Especial a política florestal para a Amazônia brasileira. Alterada Pela Resolução Nº 17/1986.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=31;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;9;Resolução CONAMA Nº 009/1986;Dispõe sobre a criação de Comissão Especial para estudos do Patrimônio Espeleológico;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=32;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;10;Resolução CONAMA Nº 010/1986 ;Dispõe sobre a criação de Comissão Especial para elaborar projeto de lei sobre Unidades de Conservação;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=33;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;12;Resolução CONAMA Nº 012/1986;Dispõe sobre alterações da Resolução nº 3/85;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=35;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;13;Resolução CONAMA Nº 013/1986 ;Dispõe sobre a criação de Comissão Especial referente a reformulação da Portaria/GM/Minter nº 13/76;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=36;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;14;Resolução CONAMA Nº 014/1986;Dispõe sobre o referendo à Resolução nº 5/86. Revogação reconhecida pela Resolução nº 480, de 19 de julho de 2017.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=37;REVOGADO;
1986;RESOLUÇÃO CONAMA;15;Resolução CONAMA Nº 015/1986;Dispõe sobre alterações na Resolução nº 4/86;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=38;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;16;Resolução CONAMA Nº 016/1986;Dispõe sobre a formação de grupo de Trabalho, referente a Resolução nº 3/86;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=39;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;17;Resolução CONAMA Nº 017/1986;Dispõe sobre a criação de Comissão Especial referente ao Projeto de Lei de política florestal para a Amazônia Brasileira;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=40;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;25;Resolução CONAMA Nº 025/1986;Dispõe sobre a aprovação do novo Regimento Interno do CONAMA. Alterada Pelas Resoluções Nº 12/1987, Nº 07/1989, Nº 08/1989, E 07/1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=48;ATO EXAURIDO;
1986;RESOLUÇÃO CONAMA;26;Resolução CONAMA Nº 026/1986;Dispõe sobre a criação de Câmaras Técnicas de Recursos Hídricos, Poluição Industrial, Mineração, Flora e Fauna e Agrotóxicos. Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=49;REVOGADO;
1987;RESOLUÇÃO CONAMA;1;Resolução CONAMA Nº 001/1987;Dispõe sobre a criação de Câmaras Técnicas de acompanhamento de temas ambientais à constituinte. Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=53;REVOGADO;
1987;RESOLUÇÃO CONAMA;2;Resolução CONAMA Nº 002/1987;Dispõe sobre a criação de Câmaras Técnicas de acompanhamento de Saneamento Básico. Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=54;REVOGADO;
1987;RESOLUÇÃO CONAMA;3;Resolução CONAMA Nº 003/1987;Dispõe sobre a criação de Câmaras Técnicas de Zoneamento ecológico-econômico.  Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=55;REVOGADO;
1987;RESOLUÇÃO CONAMA;9;Resolução CONAMA Nº 009/1987;Dispõe sobre a questão de audiências Públicas. Alterada pela Resolução nº 494/2020;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=60;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1987;RESOLUÇÃO CONAMA;12;Resolução CONAMA Nº 012/1987;Dispõe sobre alteração do Regimento Interno do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=63;ATO EXAURIDO;
1987;RESOLUÇÃO CONAMA;13;Resolução CONAMA Nº 013/1987;Dispõe sobre aprovação do calendário de reuniões ordinárias do CONAMA, para o exercício de 1988;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=64;ATO EXAURIDO;
1988;RESOLUÇÃO CONAMA;6;Resolução CONAMA Nº 006/1988;Dispõe sobre o licenciamento de obras de resíduos industriais perigosos. Revogada pela Resolução nº 313, de 2002.;CONAMA;LICENCIAMENTO AMBIENTAL;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=70;REVOGADO;
1988;RESOLUÇÃO CONAMA;7;Resolução CONAMA Nº 007/1988 ;Dispõe sobre a criação de Câmara Técnica de acompanhamento à Constituinte.  Revogada pela Resolução nº 03, de 1991.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=71;REVOGADO;
